City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
452,Kabare,CD,60.37,-2.4683,28.8242,Hôtel Panorama
453,Muros,ES,49.68,42.7762,-9.0603,Apartment Av. Castelao
454,Karagay,RU,31.15,58.2667,54.9368,Gostinitsa
455,Neiafu,TO,81.28,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
456,Tomatlan,MX,78.46,19.9333,-105.25,El Salvial
457,Linguere,SN,80.87,15.3953,-15.1193,AYO Casablanca
458,Bontang,ID,79.66,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
459,Cernay,FR,52.54,47.8097,7.177,Logis Auberge du Relais
460,Torbay,CA,37.76,47.6666,-52.7314,Gallows Cove
461,Mayorga,PH,81.55,10.9,125.0,Mayorga Elders Apartment 🏠
462,Balabac,PH,81.88,7.9868,117.0645,Batalla’s Lodging House
463,Palmer,US,56.8,42.1584,-72.3287,Wedgewood Motel
464,Morag,PL,41.88,53.9171,19.926,Hotel ELEKTOR
465,Darab,IR,63.3,28.7519,54.5444,Naghshe shapoor Hotel
466,Cassilandia,BR,65.86,-19.1133,-51.7342,Delirius Motel
467,Lata,PT,55.92,40.1629,-8.3327,Casa Maquia
468,Bhadrachalam,IN,70.72,17.6667,80.8833,Hotel Srinidhi Residency
469,Devarkonda,IN,69.98,16.7,78.9333,సంతోష్ టిఫిన్ సెంటర్
470,Sambava,MG,69.76,-14.2667,50.1667,Melrose
471,Makakilo City,US,83.44,21.3469,-158.0858,Marriott's Ko Olina Beach Club
472,Bestobe,KZ,37.54,52.4994,73.0975,
473,Adra,ES,63.37,36.7496,-3.0206,Hostal Zapata
474,Kuusamo,FI,32.04,65.9667,29.1833,Hotel Kuusanka
475,Porto Walter,BR,72.39,-8.2686,-72.7439,Hotel Silva
476,Antalaha,MG,69.26,-14.9003,50.2788,Hotel Vitasoa
477,Burnie,AU,57.94,-41.0667,145.9167,Beachfront Voyager Motor Inn
478,Melbu,NO,39.02,68.5044,14.8297,Melbu Hotel
479,Peleduy,RU,3.49,59.6289,112.7406,Гостиница «Уют»
480,Bilma,NE,68.88,18.6853,12.9164,Expeditions Ténére voyages
481,Palmerston,AU,87.04,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
482,Agra,IN,72.39,27.1833,78.0167,Hotel Tourist Rest House
483,Kochkurovo,RU,32.99,54.0358,45.4184,House
484,Torbat-E Jam,IR,56.23,35.244,60.6225,White building
485,Hartford,US,57.78,41.7668,-72.7662,West Hartford Inn
486,Kangaatsiaq,GL,21.51,68.3065,-53.4641,Nukissiorfiit
487,Nanpara,IN,66.2,27.8667,81.5,Nanpara Hotel Residency
488,Saint-Joseph,RE,74.46,-21.3667,55.6167,"""Plantation Bed and Breakfast"
489,Chumikan,RU,20.17,54.7183,135.315,Fortuna
490,Zhezkazgan,KZ,43.23,47.8043,67.7144,Hotel Zumrat
491,Dawson,US,69.22,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
492,Ler,SS,72.7,8.3018,30.1418,Leer Humanitarian Hub
493,Camargo,MX,78.49,27.6667,-105.1667,Hotel Santa Fe
494,Den Helder,NL,52.99,52.9599,4.7593,Hotel Den Helder
495,Yonibana,SL,75.6,8.4447,-12.245,
496,Cayenne,GF,77.04,4.9333,-52.3333,Hôtel Le Dronmi
497,Seoul,KR,40.39,37.5683,126.9778,LOTTE HOTEL SEOUL
498,Iisalmi,FI,39.29,63.5592,27.1907,Original Sokos Hotel Koljonvirta
499,Rocha,UY,50.68,-34.4833,-54.3333,Hotel Arrarte
500,Tabou,CI,77.58,4.423,-7.3528,hotêl doufoulougou
501,Amahai,ID,84.51,-3.3333,128.9167,HOTEL ISABELA
502,Worthington,US,58.75,40.0931,-83.018,Sheraton Suites Columbus Worthington
503,Belmonte,BR,70.72,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
504,Paamiut,GL,36.55,61.994,-49.6678,Pistut
505,Chara,RU,13.33,56.9064,118.2631,
506,Salalah,OM,78.89,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
507,Chimbote,PE,63.48,-9.0853,-78.5783,Hotel Briliá
508,Chanika,TZ,67.05,-5.4167,38.0167,New Rombo Green Hotel
509,Kibala,TD,73.13,9.1104,18.3463,Prasant Hotels
